"YEAR","QUARTER","MONTH","DAY_OF_MONTH","DAY_OF_WEEK","FL_DATE","OP_UNIQUE_CARRIER","OP_CARRIER_AIRLINE_ID","OP_CARRIER","TAIL_NUM","OP_CARRIER_FL_NUM","ORIGIN_AIRPORT_ID","ORIGIN_AIRPORT_SEQ_ID","ORIGIN_CITY_MARKET_ID","ORIGIN","ORIGIN_CITY_NAME","ORIGIN_STATE_ABR","ORIGIN_STATE_FIPS","ORIGIN_STATE_NM","ORIGIN_WAC","DEST_AIRPORT_ID","DEST_AIRPORT_SEQ_ID","DEST_CITY_MARKET_ID","DEST","DEST_CITY_NAME","DEST_STATE_ABR","DEST_STATE_FIPS","DEST_STATE_NM","DEST_WAC","CRS_DEP_TIME","DEP_TIME","DEP_DELAY","DEP_DELAY_NEW","DEP_DEL15","DEP_DELAY_GROUP","DEP_TIME_BLK","TAXI_OUT","WHEELS_OFF","WHEELS_ON","TAXI_IN","CRS_ARR_TIME","ARR_TIME","ARR_DELAY","ARR_DELAY_NEW","ARR_DEL15","ARR_DELAY_GROUP","ARR_TIME_BLK","CANCELLED","CANCELLATION_CODE","DIVERTED","CRS_ELAPSED_TIME","ACTUAL_ELAPSED_TIME","AIR_TIME","FLIGHTS","DISTANCE","DISTANCE_GROUP","CARRIER_DELAY","WEATHER_DELAY","NAS_DELAY","SECURITY_DELAY","LATE_AIRCRAFT_DELAY","FIRST_DEP_TIME","TOTAL_ADD_GTIME","LONGEST_ADD_GTIME"
2025,1,1,1,3,"1/1/2025 12:00:00 AM","YX",20452,"YX","N418YX",4630,14122,1412202,30198,"PIT","Pittsburgh, PA","PA",42,"Pennsylvania",23,14492,1449202,34492,"RDU","Raleigh/Durham, NC","NC",37,"North Carolina",36,1708,1658,-10,0,0,-1,"1700-1759",29,1727,1820,5,1830,1825,-5,0,0,-1,"1800-1859",0,"",0,82,87,53,1,328,2,NA,NA,NA,NA,NA,NA,NA,NA
2025,1,1,1,3,"1/1/2025 12:00:00 AM","YX",20452,"YX","N733YX",3686,14122,1412202,30198,"PIT","Pittsburgh, PA","PA",42,"Pennsylvania",23,13930,1393008,30977,"ORD","Chicago, IL","IL",17,"Illinois",41,1050,1042,-8,0,0,-1,"1000-1059",12,1054,1106,19,1145,1125,-20,0,0,-2,"1100-1159",0,"",0,115,103,72,1,413,2,NA,NA,NA,NA,NA,NA,NA,NA
2025,1,1,2,4,"1/2/2025 12:00:00 AM","AA",19805,"AA","N107US",2307,14122,1412202,30198,"PIT","Pittsburgh, PA","PA",42,"Pennsylvania",23,11057,1105703,31057,"CLT","Charlotte, NC","NC",37,"North Carolina",36,1734,1731,-3,0,0,-1,"1700-1759",11,1742,1843,26,1909,1909,0,0,0,0,"1900-1959",0,"",0,95,98,61,1,366,2,NA,NA,NA,NA,NA,NA,NA,NA
2025,1,1,2,4,"1/2/2025 12:00:00 AM","DL",19790,"DL","N364NW",1188,14122,1412202,30198,"PIT","Pittsburgh, PA","PA",42,"Pennsylvania",23,14869,1486903,34614,"SLC","Salt Lake City, UT","UT",49,"Utah",87,1750,1803,13,13,0,0,"1700-1759",11,1814,2010,4,2015,2014,-1,0,0,-1,"2000-2059",0,"",0,265,251,236,1,1660,7,NA,NA,NA,NA,NA,NA,NA,NA
2025,1,1,2,4,"1/2/2025 12:00:00 AM","F9",20436,"F9","N361FR",4373,14122,1412202,30198,"PIT","Pittsburgh, PA","PA",42,"Pennsylvania",23,11292,1129202,30325,"DEN","Denver, CO","CO",8,"Colorado",82,2156,2146,-10,0,0,-1,"2100-2159",29,2215,2323,13,2332,2336,4,4,0,0,"2300-2359",0,"",0,216,230,188,1,1290,6,NA,NA,NA,NA,NA,NA,NA,NA
2025,1,1,2,4,"1/2/2025 12:00:00 AM","G4",20368,"G4","243NV",2726,14122,1412202,30198,"PIT","Pittsburgh, PA","PA",42,"Pennsylvania",23,14986,1498603,34986,"SRQ","Sarasota/Bradenton, FL","FL",12,"Florida",33,1744,1736,-8,0,0,-1,"1700-1759",11,1747,1956,6,2023,2002,-21,0,0,-2,"2000-2059",0,"",0,159,146,129,1,912,4,NA,NA,NA,NA,NA,NA,NA,NA
2025,1,1,2,4,"1/2/2025 12:00:00 AM","NK",20416,"NK","N729NK",638,14122,1412202,30198,"PIT","Pittsburgh, PA","PA",42,"Pennsylvania",23,11697,1169706,32467,"FLL","Fort Lauderdale, FL","FL",12,"Florida",33,2038,2046,8,8,0,0,"2000-2059",8,2054,2317,28,2327,2345,18,18,1,1,"2300-2359",0,"",0,169,179,143,1,994,4,0,0,10,0,8,NA,NA,NA
2025,1,1,2,4,"1/2/2025 12:00:00 AM","NK",20416,"NK","N739NK",748,14122,1412202,30198,"PIT","Pittsburgh, PA","PA",42,"Pennsylvania",23,11618,1161802,31703,"EWR","Newark, NJ","NJ",34,"New Jersey",21,1933,1959,26,26,1,1,"1900-1959",12,2011,2105,7,2059,2112,13,13,0,0,"2000-2059",0,"",0,86,73,54,1,319,2,NA,NA,NA,NA,NA,NA,NA,NA
2025,1,1,2,4,"1/2/2025 12:00:00 AM","UA",19977,"UA","N14219",2681,14122,1412202,30198,"PIT","Pittsburgh, PA","PA",42,"Pennsylvania",23,14771,1477104,32457,"SFO","San Francisco, CA","CA",6,"California",91,1730,1725,-5,0,0,-1,"1700-1759",37,1802,2013,10,2017,2023,6,6,0,0,"2000-2059",0,"",0,347,358,311,1,2254,10,NA,NA,NA,NA,NA,NA,NA,NA
2025,1,1,2,4,"1/2/2025 12:00:00 AM","UA",19977,"UA","N468UA",1398,14122,1412202,30198,"PIT","Pittsburgh, PA","PA",42,"Pennsylvania",23,13930,1393008,30977,"ORD","Chicago, IL","IL",17,"Illinois",41,1744,1737,-7,0,0,-1,"1700-1759",34,1811,1823,14,1832,1837,5,5,0,0,"1800-1859",0,"",0,108,120,72,1,413,2,NA,NA,NA,NA,NA,NA,NA,NA
